Action,Date,Ad Title/Id,Page/App
Impression,2025/12/13,943512664,mail.yahoo.com
Impression,2025/12/13,943600494,mail.yahoo.com
Impression,2025/12/13,953684996,mail.yahoo.com
Impression,2025/12/13,953784576,mail.yahoo.com
Impression,2025/12/13,971114483,mail.yahoo.com
Impression,2025/12/13,971326893,mail.yahoo.com
Impression,2025/12/13,980038266,mail.yahoo.com
Impression,2025/12/13,981812886,mail.yahoo.com
Impression,2025/12/13,982183226,mail.yahoo.com
Impression,2025/12/13,983394936,mail.yahoo.com
Impression,2025/12/13,984249266,mail.yahoo.com
Impression,2025/12/13,991136443,mail.yahoo.com
Impression,2025/12/15,969838463,yahoo.com
Impression,2025/12/18,854226303,mail.yahoo.com
Impression,2025/12/19,971332033,mail.yahoo.com
Impression,2025/12/22,1073827784,yahoo.com
Impression,2025/12/22,943532664,yahoo.com
Impression,2025/12/22,971332043,yahoo.com
Impression,2025/12/22,971421613,yahoo.com
Impression,2025/12/23,1001635856,yahoo.com
Impression,2025/12/23,1011328146,mail.yahoo.com
Impression,2025/12/23,1071267214,mail.yahoo.com
Impression,2025/12/23,1074723284,mail.yahoo.com
Impression,2025/12/23,854226303,yahoo.com
Impression,2025/12/23,901656653,mail.yahoo.com
Impression,2025/12/23,926853484,mail.yahoo.com
Impression,2025/12/26,1013892746,mail.yahoo.com
Impression,2025/12/26,1077195364,mail.yahoo.com
Impression,2025/12/26,953684996,mail.yahoo.com
Impression,2025/12/27,738100364,mail.yahoo.com
Impression,2025/12/27,738129834,mail.yahoo.com
Impression,2025/12/27,797358886,mail.yahoo.com
Impression,2025/12/27,797445486,mail.yahoo.com
Impression,2025/12/27,837753836,mail.yahoo.com
Impression,2025/12/27,891302746,mail.yahoo.com
Impression,2025/12/27,926791304,mail.yahoo.com
Impression,2025/12/27,943453424,mail.yahoo.com
Impression,2025/12/29,1073080894,mail.yahoo.com
Impression,2025/12/29,1073827784,mail.yahoo.com
Impression,2025/12/29,1077233444,mail.yahoo.com
